date	season	obs	yest.obs	two.yest.obs	three.yest.obs
1915-03-26	1	2.343344188	2.239524166	2.268244645	2.254258403
1915-03-27	1	2.554724071	2.343344188	2.239524166	2.268244645
1915-03-28	1	2.596748712	2.554724071	2.343344188	2.239524166
1915-03-29	1	2.495226972	2.596748712	2.554724071	2.343344188
1915-03-30	1	2.226799236	2.495226972	2.596748712	2.554724071
1915-03-31	1	2.118712911	2.226799236	2.495226972	2.596748712
1915-04-01	1	2.18239809	2.118712911	2.226799236	2.495226972
1915-04-02	1	2.295123733	2.18239809	2.118712911	2.226799236
1915-04-03	1	2.440994182	2.295123733	2.18239809	2.118712911
1915-04-04	1	2.440994182	2.440994182	2.295123733	2.18239809
1915-04-05	1	2.344334778	2.440994182	2.440994182	2.295123733
1915-04-06	1	2.196845033	2.344334778	2.440994182	2.440994182
1915-04-07	1	2.134102565	2.196845033	2.344334778	2.440994182
1915-04-08	1	2.134102565	2.134102565	2.196845033	2.344334778
1915-04-09	1	2.340366519	2.134102565	2.134102565	2.196845033
1915-04-10	1	2.486246796	2.340366519	2.134102565	2.134102565
1915-04-11	1	2.674777558	2.486246796	2.340366519	2.134102565
1915-04-12	1	2.662968511	2.674777558	2.486246796	2.340366519
1915-04-13	1	2.705603116	2.662968511	2.674777558	2.486246796
1915-04-14	1	2.739516166	2.705603116	2.662968511	2.674777558
1915-04-15	1	2.850197612	2.739516166	2.705603116	2.662968511
1915-04-16	1	2.916600067	2.850197612	2.739516166	2.705603116
1915-04-17	1	2.9576455	2.916600067	2.850197612	2.739516166
1915-04-18	1	2.989310415	2.9576455	2.916600067	2.850197612
1915-04-19	1	2.960322878	2.989310415	2.9576455	2.916600067
1915-04-20	1	2.879611498	2.960322878	2.989310415	2.9576455
1915-04-21	1	2.755066521	2.879611498	2.960322878	2.989310415
1915-04-22	1	2.626680857	2.755066521	2.879611498	2.960322878
1915-04-23	1	2.503282984	2.626680857	2.755066521	2.879611498
1915-04-24	1	2.352715404	2.503282984	2.626680857	2.755066521
1915-04-25	1	2.29668258	2.352715404	2.503282984	2.626680857
1915-04-26	1	2.400172188	2.29668258	2.352715404	2.503282984
1915-04-27	1	2.544240104	2.400172188	2.29668258	2.352715404
1915-04-28	1	2.672640805	2.544240104	2.400172188	2.29668258
1915-04-29	1	2.594823783	2.672640805	2.544240104	2.400172188
1915-04-30	1	2.43513435	2.594823783	2.672640805	2.544240104
1915-05-01	0	2.182979993	2.43513435	2.594823783	2.672640805
1915-05-02	0	2.047368819	2.182979993	2.43513435	2.594823783
1915-05-03	0	1.96982133	2.047368819	2.182979993	2.43513435
1915-05-04	0	1.952391695	1.96982133	2.047368819	2.182979993
1915-05-05	0	2.01349024	1.952391695	1.96982133	2.047368819
1915-05-06	0	2.104342154	2.01349024	1.952391695	1.96982133
1915-05-07	0	2.226242288	2.104342154	2.01349024	1.952391695
1915-05-08	0	3.07346056	2.226242288	2.104342154	2.01349024
