season	obs	residual	yest.residual	yest.all.obs
1	1.109949075	0.603056088	0.819311406	1.073253229
1	1.090312766	0.421460678	0.603056088	1.109949075
1	1.049241757	0.420729383	0.421460678	1.090312766
1	0.943747336	0.481581662	0.420729383	1.049241757
1	0.850140314	0.519010665	0.481581662	0.943747336
1	0.694881006	0.469928154	0.519010665	0.850140314
1	0.567561462	0.432719215	0.469928154	0.694881006
1	0.508542375	0.45433444	0.432719215	0.567561462
1	0.626705675	0.648335938	0.45433444	0.508542375
1	0.772333598	0.868271626	0.648335938	0.626705675
1	0.824427298	0.995459866	0.868271626	0.772333598
1	0.735591069	0.983698851	0.995459866	0.824427298
1	0.533390806	0.766367522	0.983698851	0.735591069
1	0.387938042	0.429289026	0.766367522	0.533390806
1	0.424666926	0.387585007	0.429289026	0.387938042
1	0.649871214	0.772124441	0.387585007	0.424666926
1	0.835058245	1.114561833	0.772124441	0.649871214
1	0.967974409	1.378793645	1.114561833	0.835058245
1	0.941233299	0.807673217	1.378793645	0.967974409
1	0.84105533	-0.525658541	0.807673217	0.941233299
1	1.00090916	-0.911784335	-0.525658541	0.84105533
1	1.533008444	-0.554636181	-0.911784335	1.00090916
1	2.069429191	0.011227996	-0.554636181	1.533008444
1	2.323132493	-0.08574873	0.011227996	2.069429191
1	2.317153511	-0.555077781	-0.08574873	2.323132493
1	2.03668945	-1.144871421	-0.555077781	2.317153511
1	1.625226442	-1.602911564	-1.144871421	2.03668945
1	1.267936786	-1.828589101	-1.602911564	1.625226442
1	1.174796173	-1.68608225	-1.828589101	1.267936786
1	1.207706991	-1.453573386	-1.68608225	1.174796173
1	1.222796674	-1.294673281	-1.453573386	1.207706991
1	1.199864286	-1.217096669	-1.294673281	1.222796674
1	1.11615776	-1.23109974	-1.217096669	1.199864286
1	0.984700558	-1.313424688	-1.23109974	1.11615776
1	0.881041751	-1.381100935	-1.313424688	0.984700558
1	0.897089147	-1.337290066	-1.381100935	0.881041751
1	1.004528179	-1.216107185	-1.337290066	0.897089147
1	1.107796732	-1.112152306	-1.216107185	1.004528179
1	1.286912733	-0.936644241	-1.112152306	1.107796732
1	1.473183441	-0.723506503	-0.936644241	1.286912733
1	1.623935677	-0.619031104	-0.723506503	1.473183441
1	1.625455047	-0.764086998	-0.619031104	1.623935677
1	1.577536913	-0.891529735	-0.764086998	1.625455047
1	1.547442328	-0.919760772	-0.891529735	1.577536913
1	1.585357448	-0.788118574	-0.919760772	1.547442328
1	1.59718959	-0.71082087	-0.788118574	1.585357448
1	1.541598008	-0.716256378	-0.71082087	1.59718959
1	1.411673847	-0.806223652	-0.716256378	1.541598008
1	1.310102428	-0.877728939	-0.806223652	1.411673847
1	1.295988854	-0.867234648	-0.877728939	1.310102428
1	1.386775033	-0.756186927	-0.867234648	1.295988854
1	1.450960821	-0.78219366	-0.756186927	1.386775033
1	1.455677139	-0.899259762	-0.78219366	1.450960821
1	1.370412312	-1.057637411	-0.899259762	1.455677139
1	1.255382774	-1.123500825	-1.057637411	1.370412312
1	1.160837563	-1.131269328	-1.123500825	1.255382774
1	1.19575713	-1.034691252	-1.131269328	1.160837563
1	1.346567877	-0.840955481	-1.034691252	1.19575713
1	1.480230266	-0.677889694	-0.840955481	1.346567877
1	1.517392144	-0.675499893	-0.677889694	1.480230266
1	1.397189232	-0.902492677	-0.675499893	1.517392144
1	1.217069177	-1.13478407	-0.902492677	1.397189232
1	1.103035688	-1.20781248	-1.13478407	1.217069177
1	1.139114405	-1.094427596	-1.20781248	1.103035688
1	1.268711164	-0.910446209	-1.094427596	1.139114405
1	1.317402068	-0.822170103	-0.910446209	1.268711164
1	1.32064166	-0.788594682	-0.822170103	1.317402068
1	1.240320134	-0.844288604	-0.788594682	1.32064166
1	1.184838449	-0.884220421	-0.844288604	1.240320134
1	1.168068634	-0.90129606	-0.884220421	1.184838449
1	1.210885882	-0.909654068	-0.90129606	1.168068634
1	1.464924289	-0.755310028	-0.909654068	1.210885882
1	1.821150835	-0.440350468	-0.755310028	1.464924289
1	2.125629932	-0.161470836	-0.440350468	1.821150835
1	2.240653576	-0.178833103	-0.161470836	2.125629932
1	2.175958439	-0.453613874	-0.178833103	2.240653576
1	2.030226653	-0.752658778	-0.453613874	2.175958439
1	1.998645554	-0.77116416	-0.752658778	2.030226653
1	2.241377863	-0.42534604	-0.77116416	1.998645554
1	2.50020369	-0.055056703	-0.42534604	2.241377863
1	2.627416766	0.004692606	-0.055056703	2.50020369
1	2.505938755	-0.281385028	0.004692606	2.627416766
1	2.257717864	-0.618317094	-0.281385028	2.505938755
1	1.972226245	-0.839056258	-0.618317094	2.257717864
1	1.863471517	-0.804457853	-0.839056258	1.972226245
1	1.804274535	-0.765254965	-0.804457853	1.863471517
1	1.7611489	-0.744597109	-0.765254965	1.804274535
1	1.679830113	-0.7994148	-0.744597109	1.7611489
1	1.585501371	-0.864428129	-0.7994148	1.679830113
1	1.479946342	-0.940955757	-0.864428129	1.585501371
1	1.434547878	-0.956604576	-0.940955757	1.479946342
1	1.473042128	-0.894404753	-0.956604576	1.434547878
1	1.542809455	-0.8046075	-0.894404753	1.473042128
1	1.580472358	-0.74910951	-0.8046075	1.542809455
1	1.566139489	-0.746895393	-0.74910951	1.580472358
1	1.500041659	-0.797187304	-0.746895393	1.566139489
1	1.423485405	-0.858350426	-0.797187304	1.500041659
1	1.370124569	-0.896533153	-0.858350426	1.423485405
1	1.403350145	-0.848225244	-0.896533153	1.370124569
1	1.462190343	-0.774326651	-0.848225244	1.403350145
1	1.513397583	-0.708042147	-0.774326651	1.462190343
1	1.506126851	-0.700190788	-0.708042147	1.513397583
1	1.488150836	-0.702983209	-0.700190788	1.506126851
1	1.463086998	-0.712805907	-0.702983209	1.488150836
1	1.485976249	-0.692430417	-0.712805907	1.463086998
1	1.506285819	-0.846989562	-0.692430417	1.485976249
1	1.569344361	-0.910991936	-0.846989562	1.506285819
1	1.65810531	-0.851381145	-0.910991936	1.569344361
1	1.779839117	-0.616408961	-0.851381145	1.65810531
1	1.843261592	-0.473306949	-0.616408961	1.779839117
1	1.820584498	-0.440235153	-0.473306949	1.843261592
1	1.702287942	-0.518352253	-0.440235153	1.820584498
1	1.603783437	-0.598534601	-0.518352253	1.702287942
1	1.579577561	-0.608372298	-0.598534601	1.603783437
1	1.672921641	-0.493984427	-0.608372298	1.579577561
1	1.7544593	-0.389479279	-0.493984427	1.672921641
1	1.791243657	-0.332621938	-0.389479279	1.7544593
1	1.727297729	-0.378204886	-0.332621938	1.791243657
1	1.591921548	-0.496205773	-0.378204886	1.727297729
0	1.411432691	-0.659869543	-0.496205773	1.591921548
0	1.260737091	-0.794026913	-0.659869543	1.411432691
0	1.16458939	-0.873764636	-0.794026913	1.260737091
0	1.09477007	-0.927206396	-0.873764636	1.16458939
0	1.000729971	-1.004843054	-0.927206396	1.09477007
0	0.863530244	-1.125577552	-1.004843054	1.000729971
0	0.773114809	-1.199443409	-1.125577552	0.863530244
0	0.754835645	-1.201074007	-1.199443409	0.773114809
0	0.825708992	-1.113443163	-1.201074007	0.754835645
0	0.900235314	-1.022043697	-1.113443163	0.825708992
0	0.965602508	-0.939701735	-1.022043697	0.900235314
0	0.941138197	-0.94714641	-0.939701735	0.965602508
0	0.841772319	-1.029678914	-0.94714641	0.941138197
0	0.812333995	-1.042616357	-1.029678914	0.841772319
0	0.963761094	-0.878314826	-1.042616357	0.812333995
0	1.1716069	-0.803855647	-0.878314826	0.963761094
0	1.248021824	-0.894742175	-0.803855647	1.1716069
0	1.194633273	-1.021795895	-0.894742175	1.248021824
0	1.054440112	-1.077404001	-1.021795895	1.194633273
0	0.917756873	-1.116083888	-1.077404001	1.054440112
0	0.832916143	-1.132053428	-1.116083888	0.917756873
0	0.837084034	-1.07846214	-1.132053428	0.832916143
0	0.907082889	-0.996939046	-1.07846214	0.837084034
0	0.991708168	-0.961885521	-0.996939046	0.907082889
0	1.03552591	-0.944746343	-0.961885521	0.991708168
0	1.018268921	-0.91592684	-0.944746343	1.03552591
0	0.936321102	-0.946005394	-0.91592684	1.018268921
0	0.826267653	-1.017160642	-0.946005394	0.936321102
0	0.753088476	-1.059588054	-1.017160642	0.826267653
0	0.818955363	-0.967922265	-1.059588054	0.753088476
0	0.942870934	-0.821172211	-0.967922265	0.818955363
0	1.039199536	-0.703706143	-0.821172211	0.942870934
0	0.967505928	-0.755206303	-0.703706143	1.039199536
0	0.740368665	-0.9626272	-0.755206303	0.967505928
0	0.364116139	-1.319404204	-0.9626272	0.740368665
0	-0.040816152	-1.704930262	-1.319404204	0.364116139
0	-0.349074787	-1.993746829	-1.704930262	-0.040816152
0	-0.510416625	-2.135545747	-1.993746829	-0.349074787
0	-0.546086501	-2.151530083	-2.135545747	-0.510416625
0	-0.584772676	-2.170361883	-2.151530083	-0.546086501
0	-0.543095777	-2.108645965	-2.170361883	-0.584772676
0	-0.309517944	-1.854823737	-2.108645965	-0.543095777
0	-0.028378326	-1.553222468	-1.854823737	-0.309517944
0	0.123593252	-1.380558971	-1.553222468	-0.028378326
0	0.227286177	-1.255942322	-1.380558971	0.123593252
0	0.349616515	-1.112446771	-1.255942322	0.227286177
0	0.482494501	-0.958152816	-1.112446771	0.349616515
0	0.414166407	-1.004804926	-0.958152816	0.482494501
0	0.203930267	-1.193095615	-1.004804926	0.414166407
0	-0.068527564	-1.443328765	-1.193095615	0.203930267
0	-0.107478688	-1.459765796	-1.443328765	-0.068527564
0	-0.104274962	-1.433747911	-1.459765796	-0.107478688
0	-0.098230251	-1.40457855	-1.433747911	-0.104274962
0	-0.245033462	-1.527936986	-1.40457855	-0.098230251
0	-0.533170858	-1.792292722	-1.527936986	-0.245033462
0	-1.140762278	-2.375752048	-1.792292722	-0.533170858
0	-1.468208228	-2.678701236	-2.375752048	-1.140762278
0	-1.015559553	-2.201185098	-2.678701236	-1.468208228
0	-0.381046057	-1.541409407	-2.201185098	-1.015559553
0	-0.07328343	-1.207972375	-1.541409407	-0.381046057
0	-0.00754804	-1.116129107	-1.207972375	-0.07328343
0	-0.106090736	-1.188120282	-1.116129107	-0.00754804
0	-0.066502802	-1.121518103	-1.188120282	-0.106090736
0	0.183363355	-0.844168978	-1.121518103	-0.066502802
0	0.457021699	-0.54254853	-0.844168978	0.183363355
0	0.552806304	-0.418248782	-0.54254853	0.457021699
0	0.508171549	-0.433776879	-0.418248782	0.552806304
0	0.362530937	-0.549681641	-0.433776879	0.508171549
0	0.177149516	-0.70472186	-0.549681641	0.362530937
0	0.051016296	-0.799871827	-0.70472186	0.177149516
0	0.017897613	-0.801325885	-0.799871827	0.051016296
0	0.121970085	-0.664866767	-0.801325885	0.017897613
