season	obs	residual	yest.residual	two.yest.residual	three.yest.residual	ma.2
1	2.186346758	-0.574785329	-0.630695465	-0.679062227	-0.72507822	-0.628181007
1	2.241944727	-0.506985707	-0.574785329	-0.630695465	-0.679062227	-0.570822167
1	2.292072628	-0.472752912	-0.506985707	-0.574785329	-0.630695465	-0.518174649
1	2.301315882	-0.63153938	-0.472752912	-0.506985707	-0.574785329	-0.537092666
1	2.258781983	-0.81321821	-0.63153938	-0.472752912	-0.506985707	-0.639170168
1	2.207560667	-0.918129912	-0.81321821	-0.63153938	-0.472752912	-0.787629168
1	2.180830117	-0.84134081	-0.918129912	-0.81321821	-0.63153938	-0.857562977
1	2.187436469	-0.738002466	-0.84134081	-0.918129912	-0.81321821	-0.832491063
1	2.200421215	-0.65850734	-0.738002466	-0.84134081	-0.918129912	-0.745950205
1	2.21827813	-0.594263014	-0.65850734	-0.738002466	-0.84134081	-0.66359094
1	2.242716792	-0.536268352	-0.594263014	-0.65850734	-0.738002466	-0.596346236
1	2.269589597	-0.483806653	-0.536268352	-0.594263014	-0.65850734	-0.538112673
1	2.301545549	-0.431125892	-0.483806653	-0.536268352	-0.594263014	-0.483733632
1	2.348657107	-0.366218681	-0.431125892	-0.483806653	-0.536268352	-0.427050408
1	2.401495178	-0.297334483	-0.366218681	-0.431125892	-0.483806653	-0.364893019
1	2.442383978	-0.241434581	-0.297334483	-0.366218681	-0.431125892	-0.301662582
1	2.471528231	-0.197889307	-0.241434581	-0.297334483	-0.366218681	-0.245552791
1	2.49312695	-0.162250965	-0.197889307	-0.241434581	-0.297334483	-0.200524951
1	2.497152651	-0.146788987	-0.162250965	-0.197889307	-0.241434581	-0.16897642
1	2.448696032	-0.233597551	-0.146788987	-0.162250965	-0.197889307	-0.180879167
1	2.37235839	-0.350689483	-0.233597551	-0.146788987	-0.162250965	-0.243692007
1	2.316404325	-0.423582137	-0.350689483	-0.233597551	-0.146788987	-0.33595639
1	2.323320691	-0.370795673	-0.423582137	-0.350689483	-0.233597551	-0.381689098
1	2.362027986	-0.290285527	-0.370795673	-0.423582137	-0.350689483	-0.361554446
1	2.403399911	-0.218056225	-0.290285527	-0.370795673	-0.423582137	-0.293045808
1	2.443896334	-0.153502889	-0.218056225	-0.290285527	-0.370795673	-0.22061488
1	2.478916396	-0.098563203	-0.153502889	-0.218056225	-0.290285527	-0.156707439
1	2.508071613	-0.051984539	-0.098563203	-0.153502889	-0.218056225	-0.10135021
1	2.515982363	-0.028126446	-0.051984539	-0.098563203	-0.153502889	-0.059558063
1	2.515635988	-0.013400911	-0.028126446	-0.051984539	-0.098563203	-0.031170632
1	2.508794	-0.005651891	-0.013400911	-0.028126446	-0.051984539	-0.015726416
0	2.510393297	0.010252579	-0.005651891	-0.013400911	-0.028126446	-0.002933408
0	2.512119112	0.026140834	0.010252579	-0.005651891	-0.013400911	0.010247174
0	2.514648333	0.042744069	0.026140834	0.010252579	-0.005651891	0.02637916
0	2.504213951	0.04634789	0.042744069	0.026140834	0.010252579	0.038410931
0	2.485074384	0.041235954	0.04634789	0.042744069	0.026140834	0.043442637
0	2.427825457	-0.002050781	0.041235954	0.04634789	0.042744069	0.028511021
0	2.353154407	-0.14978514	-0.002050781	0.041235954	0.04634789	-0.036866656
0	2.270525695	-0.389072169	-0.14978514	-0.002050781	0.041235954	-0.180302697
0	2.227757698	-0.530145599	-0.389072169	-0.14978514	-0.002050781	-0.356334303
0	2.215804219	-0.53023545	-0.530145599	-0.389072169	-0.14978514	-0.483151073
0	2.211412975	-0.434490573	-0.53023545	-0.530145599	-0.389072169	-0.498290541
0	2.211329728	-0.364766531	-0.434490573	-0.53023545	-0.530145599	-0.443164184
0	2.219715308	-0.304142613	-0.364766531	-0.434490573	-0.53023545	-0.367799906
0	2.248165181	-0.236142961	-0.304142613	-0.364766531	-0.434490573	-0.301684035
0	2.284438199	-0.170148577	-0.236142961	-0.304142613	-0.364766531	-0.236811384
0	2.323076306	-0.107982311	-0.170148577	-0.236142961	-0.304142613	-0.171424617
0	2.352112484	-0.059173858	-0.107982311	-0.170148577	-0.236142961	-0.112434916
0	2.378146117	-0.015617399	-0.059173858	-0.107982311	-0.170148577	-0.060924523
0	2.380154182	0.002579334	-0.015617399	-0.059173858	-0.107982311	-0.024070641
0	2.365002559	0.002819036	0.002579334	-0.015617399	-0.059173858	-0.003406343
0	2.308724701	-0.038586222	0.002819036	0.002579334	-0.015617399	-0.011062617
0	2.234950778	-0.099577435	-0.038586222	0.002819036	0.002579334	-0.045114873
0	2.137958896	-0.184420269	-0.099577435	-0.038586222	0.002819036	-0.107527975
0	2.038414421	-0.268955184	-0.184420269	-0.099577435	-0.038586222	-0.184317629
0	1.931981314	-0.360536407	-0.268955184	-0.184420269	-0.099577435	-0.271303953
0	1.853151336	-0.424620724	-0.360536407	-0.268955184	-0.184420269	-0.351370771
0	1.806810555	-0.456269542	-0.424620724	-0.360536407	-0.268955184	-0.413808891
0	1.845558111	-0.403169946	-0.456269542	-0.424620724	-0.360536407	-0.428020071
0	1.907653142	-0.332508642	-0.403169946	-0.456269542	-0.424620724	-0.397316043
0	1.987820909	-0.243411345	-0.332508642	-0.403169946	-0.456269542	-0.326363311
0	1.987396559	-0.23027102	-0.243411345	-0.332508642	-0.403169946	-0.268730336
0	1.961412747	-0.243270541	-0.23027102	-0.243411345	-0.332508642	-0.238984302
0	1.894767757	-0.325310629	-0.243270541	-0.23027102	-0.243411345	-0.266284063
0	1.83588989	-0.410772951	-0.325310629	-0.243270541	-0.23027102	-0.326451374
0	1.7548908	-0.47991972	-0.410772951	-0.325310629	-0.243270541	-0.405334433
0	1.712404809	-0.48565501	-0.47991972	-0.410772951	-0.325310629	-0.45878256
0	1.750104128	-0.419238115	-0.48565501	-0.47991972	-0.410772951	-0.461604282
0	1.845170815	-0.300754001	-0.419238115	-0.48565501	-0.47991972	-0.401882376
0	1.91934448	-0.206343369	-0.300754001	-0.419238115	-0.48565501	-0.308778495
0	1.939189339	-0.168142797	-0.206343369	-0.300754001	-0.419238115	-0.225080056
0	1.915373845	-0.174702017	-0.168142797	-0.206343369	-0.300754001	-0.183062727
0	1.865111662	-0.208325261	-0.174702017	-0.168142797	-0.206343369	-0.183723358
0	1.814193345	-0.242930757	-0.208325261	-0.174702017	-0.168142797	-0.208652678
0	1.793447971	-0.247497386	-0.242930757	-0.208325261	-0.174702017	-0.232917801
0	1.807245933	-0.217559396	-0.247497386	-0.242930757	-0.208325261	-0.235995846
0	1.833738318	-0.174906409	-0.217559396	-0.247497386	-0.242930757	-0.213321064
0	1.869211355	-0.123225868	-0.174906409	-0.217559396	-0.247497386	-0.171897224
0	1.872765568	-0.103390403	-0.123225868	-0.174906409	-0.217559396	-0.133840893
0	1.827091926	-0.132691915	-0.103390403	-0.123225868	-0.174906409	-0.119769395
0	1.682376544	-0.260932925	-0.132691915	-0.103390403	-0.123225868	-0.165671748
0	1.530929347	-0.395802083	-0.260932925	-0.132691915	-0.103390403	-0.263142308
0	1.428889397	-0.481171299	-0.395802083	-0.260932925	-0.132691915	-0.379302102
0	1.411268391	-0.481989011	-0.481171299	-0.395802083	-0.260932925	-0.452987464
0	1.404758668	-0.471556398	-0.481989011	-0.481171299	-0.395802083	-0.478238903
0	1.403624961	-0.45558996	-0.471556398	-0.481989011	-0.481171299	-0.46971179
0	1.367282759	-0.474708894	-0.45558996	-0.471556398	-0.481989011	-0.467285084
0	1.364187359	-0.460450329	-0.474708894	-0.45558996	-0.471556398	-0.463583061
0	1.439185678	-0.367967904	-0.460450329	-0.474708894	-0.45558996	-0.434375709
0	1.646923844	-0.142640039	-0.367967904	-0.460450329	-0.474708894	-0.32368609
0	1.811950034	0.010596949	-0.142640039	-0.367967904	-0.460450329	-0.166670331
0	1.894140247	-0.223028447	0.010596949	-0.142640039	-0.367967904	-0.118357179
0	1.859435275	-0.52299256	-0.223028447	0.010596949	-0.142640039	-0.245141352
0	1.763041834	-0.721027752	-0.52299256	-0.223028447	0.010596949	-0.489016253
0	1.639691628	-0.717842785	-0.721027752	-0.52299256	-0.223028447	-0.653954365
0	1.556683472	-0.654307723	-0.717842785	-0.721027752	-0.52299256	-0.697726086
0	1.559936823	-0.547954841	-0.654307723	-0.717842785	-0.721027752	-0.640035116
0	1.585398569	-0.450395683	-0.547954841	-0.654307723	-0.717842785	-0.550886082
0	1.593839881	-0.390607227	-0.450395683	-0.547954841	-0.654307723	-0.462985917
0	1.544946605	-0.40143804	-0.390607227	-0.450395683	-0.547954841	-0.414146983
0	1.448185007	-0.468387814	-0.40143804	-0.390607227	-0.450395683	-0.42014436
0	1.368042338	-0.523732735	-0.468387814	-0.40143804	-0.390607227	-0.46451953
0	1.335459108	-0.534512367	-0.523732735	-0.468387814	-0.40143804	-0.508877638
0	1.411785666	-0.438134085	-0.534512367	-0.523732735	-0.468387814	-0.498793062
0	1.433994403	-0.396866228	-0.438134085	-0.534512367	-0.523732735	-0.456504227
0	1.404790337	-0.407545521	-0.396866228	-0.438134085	-0.534512367	-0.414181945
0	1.286425663	-0.507644957	-0.407545521	-0.396866228	-0.438134085	-0.437352235
0	1.169899412	-0.606002611	-0.507644957	-0.407545521	-0.396866228	-0.507064363
0	1.114827879	-0.64289984	-0.606002611	-0.507644957	-0.407545521	-0.585515803
0	1.121992036	-0.617492673	-0.64289984	-0.606002611	-0.507644957	-0.622131708
0	1.19492412	-0.526209362	-0.617492673	-0.64289984	-0.606002611	-0.595533959
0	1.252461282	-0.450187224	-0.526209362	-0.617492673	-0.64289984	-0.53129642
0	1.278392533	-0.405619994	-0.450187224	-0.526209362	-0.617492673	-0.460672194
0	1.231450331	-0.43376283	-0.405619994	-0.450187224	-0.526209362	-0.429856683
0	1.140829409	-0.505411436	-0.43376283	-0.405619994	-0.450187224	-0.448264753
0	1.060838243	-0.5662493	-0.505411436	-0.43376283	-0.405619994	-0.501807855
0	1.069752006	-0.537996828	-0.5662493	-0.505411436	-0.43376283	-0.536552521
0	1.087025598	-0.501205842	-0.537996828	-0.5662493	-0.505411436	-0.535150657
0	1.108459483	-0.460070315	-0.501205842	-0.537996828	-0.5662493	-0.499757661
0	1.10155958	-0.44704472	-0.460070315	-0.501205842	-0.537996828	-0.469440292
0	1.111997772	-0.416442155	-0.44704472	-0.460070315	-0.501205842	-0.44118573
0	1.088132181	-0.419899293	-0.416442155	-0.44704472	-0.460070315	-0.427795389
0	1.055937505	-0.431467431	-0.419899293	-0.416442155	-0.44704472	-0.42260296
0	1.058761473	-0.407786312	-0.431467431	-0.419899293	-0.416442155	-0.419717679
0	1.102178858	-0.343271149	-0.407786312	-0.431467431	-0.419899293	-0.394174964
0	1.127337477	-0.29676509	-0.343271149	-0.407786312	-0.431467431	-0.349274184
0	1.111974194	-0.290521492	-0.29676509	-0.343271149	-0.407786312	-0.31018591
0	1.06965854	-0.310961059	-0.290521492	-0.29676509	-0.343271149	-0.29941588
0	1.041160385	-0.317303966	-0.310961059	-0.290521492	-0.29676509	-0.306262172
0	1.03535282	-0.300666831	-0.317303966	-0.310961059	-0.290521492	-0.309643952
0	1.136886009	-0.176388764	-0.300666831	-0.317303966	-0.310961059	-0.26478652
0	1.212917127	-0.077301349	-0.176388764	-0.300666831	-0.317303966	-0.184785648
0	1.236355322	-0.03048362	-0.077301349	-0.176388764	-0.300666831	-0.094724578
0	1.073302248	-0.169825754	-0.03048362	-0.077301349	-0.176388764	-0.092536908
0	0.899541559	-0.319551159	-0.169825754	-0.03048362	-0.077301349	-0.173286844
0	0.752676535	-0.442042078	-0.319551159	-0.169825754	-0.03048362	-0.310472997
0	0.764087116	-0.4058733	-0.442042078	-0.319551159	-0.169825754	-0.389155512
0	0.756620144	-0.388151733	-0.4058733	-0.442042078	-0.319551159	-0.41202237
0	0.707256258	-0.411882494	-0.388151733	-0.4058733	-0.442042078	-0.401969176
0	0.590446418	-0.502624022	-0.411882494	-0.388151733	-0.4058733	-0.434219417
0	0.469390981	-0.597170868	-0.502624022	-0.411882494	-0.388151733	-0.503892461
0	0.400062449	-0.639541223	-0.597170868	-0.502624022	-0.411882494	-0.579778705
0	0.420024103	-0.592190312	-0.639541223	-0.597170868	-0.502624022	-0.609634135
0	0.5089303	-0.475431309	-0.592190312	-0.639541223	-0.597170868	-0.569054281
0	0.650439978	-0.305568932	-0.475431309	-0.592190312	-0.639541223	-0.457730184
0	0.779033492	-0.147961949	-0.305568932	-0.475431309	-0.592190312	-0.309654063
0	0.870861009	-0.026456465	-0.147961949	-0.305568932	-0.475431309	-0.159995782
0	0.89884732	0.031892454	-0.026456465	-0.147961949	-0.305568932	-0.047508653
0	0.857478296	0.021495132	0.031892454	-0.026456465	-0.147961949	0.00897704
0	0.730238065	-0.074112914	0.021495132	0.031892454	-0.026456465	-0.006908443
0	0.564182599	-0.207826686	-0.074112914	0.021495132	0.031892454	-0.086814823
0	0.494467112	-0.244442971	-0.207826686	-0.074112914	0.021495132	-0.175460857
0	0.641066612	-0.06393772	-0.244442971	-0.207826686	-0.074112914	-0.172069126
0	0.859884056	0.189643563	-0.06393772	-0.244442971	-0.207826686	-0.039579043
0	1.028553218	0.3939898	0.189643563	-0.06393772	-0.244442971	0.173231881
0	1.089150701	0.491226388	0.3939898	0.189643563	-0.06393772	0.358286584
0	1.082586984	0.52229612	0.491226388	0.3939898	0.189643563	0.469170769
0	1.070755013	0.549205385	0.52229612	0.491226388	0.3939898	0.520909298
0	1.100877933	0.619174606	0.549205385	0.52229612	0.491226388	0.563558703
0	1.189806751	0.749137949	0.619174606	0.549205385	0.52229612	0.639172646
0	1.278739849	0.880436972	0.749137949	0.619174606	0.549205385	0.749583176
0	1.335666512	0.981352233	0.880436972	0.749137949	0.619174606	0.870309051
0	1.28510186	0.976583339	0.981352233	0.880436972	0.749137949	0.946124181
0	1.144798396	0.883778079	0.976583339	0.981352233	0.880436972	0.947237884
0	0.982861814	0.771000132	0.883778079	0.976583339	0.981352233	0.877120517
0	0.975532302	0.81131896	0.771000132	0.883778079	0.976583339	0.822032391
0	1.10746519	0.993538965	0.81131896	0.771000132	0.883778079	0.858619353
0	1.234404557	1.173939891	0.993538965	0.81131896	0.771000132	0.992932605
0	1.289968319	1.287208511	1.173939891	0.993538965	0.81131896	1.151562455
0	1.230529272	1.288742815	1.287208511	1.173939891	0.993538965	1.249963739
0	1.160689352	1.283459516	1.288742815	1.287208511	1.173939891	1.286470281
0	1.133702518	1.32502305	1.283459516	1.288742815	1.287208511	1.299075127
0	1.244909453	1.509233117	1.32502305	1.283459516	1.288742815	1.372571894
0	1.348836672	1.691194168	1.509233117	1.32502305	1.283459516	1.508483445
0	1.389829977	1.816041582	1.691194168	1.509233117	1.32502305	1.672156289
0	1.376215028	1.893098972	1.816041582	1.691194168	1.509233117	1.800111574
0	1.275481533	1.891139199	1.893098972	1.816041582	1.691194168	1.866759918
0	1.152517351	1.87673602	1.891139199	1.893098972	1.816041582	1.886991397
0	1.01453304	1.859375361	1.87673602	1.891139199	1.893098972	1.875750193
0	1.060793574	2.041497319	1.859375361	1.87673602	1.891139199	1.925869567
0	1.158211437	2.294635816	2.041497319	1.859375361	1.87673602	2.065169499
0	1.197988079	2.517097773	2.294635816	2.041497319	1.859375361	2.284410303
0	1.134675686	2.675201577	2.517097773	2.294635816	2.041497319	2.495645055
0	1.061398929	2.883748332	2.675201577	2.517097773	2.294635816	2.692015894
1	0.868674033	3.080503343	2.883748332	2.675201577	2.517097773	2.879817751
1	0.675245538	3.525531743	3.080503343	2.883748332	2.675201577	3.163261139
1	0.416627041	5.433694949	3.525531743	3.080503343	2.883748332	4.013243345
1	1.004160562	1.984473175	5.433694949	3.525531743	3.080503343	3.647899956
1	1.330957331	2.528910125	1.984473175	5.433694949	3.525531743	3.31569275
1	1.492850039	4.124929474	2.528910125	1.984473175	5.433694949	2.879437592
1	1.310999444	-0.987563365	4.124929474	2.528910125	1.984473175	1.888758745
1	1.180475246	-1.111421218	-0.987563365	4.124929474	2.528910125	0.675314964
1	1.219617369	-0.727565149	-1.111421218	-0.987563365	4.124929474	-0.942183244
1	1.309731012	-0.354444493	-0.727565149	-1.111421218	-0.987563365	-0.73114362
1	1.318495884	-0.124663226	-0.354444493	-0.727565149	-1.111421218	-0.402224289
1	1.269315729	-0.007935313	-0.124663226	-0.354444493	-0.727565149	-0.162347677
1	1.184663057	0.029429612	-0.007935313	-0.124663226	-0.354444493	-0.034389642
1	1.152059879	0.086906171	0.029429612	-0.007935313	-0.124663226	0.03613349
1	1.139197012	0.142440133	0.086906171	0.029429612	-0.007935313	0.086258639
1	1.221719717	0.279390291	0.142440133	0.086906171	0.029429612	0.169578865
1	1.326891752	0.43036523	0.279390291	0.142440133	0.086906171	0.284065218
1	1.408699029	0.552872986	0.43036523	0.279390291	0.142440133	0.420876169
1	1.420493611	0.602520158	0.552872986	0.43036523	0.279390291	0.528586125
1	1.364333931	0.582786932	0.602520158	0.552872986	0.43036523	0.579393359
1	1.286706847	0.541052275	0.582786932	0.602520158	0.552872986	0.575453122
1	1.216763466	0.50690498	0.541052275	0.582786932	0.602520158	0.543581396
1	1.235659652	0.533702164	0.50690498	0.541052275	0.582786932	0.527219806
1	1.254401712	0.396269388	0.533702164	0.50690498	0.541052275	0.478958844
1	1.252436697	0.324210361	0.396269388	0.533702164	0.50690498	0.418060638
1	1.161237172	0.328279385	0.324210361	0.396269388	0.533702164	0.349586378
1	1.105274255	0.369165354	0.328279385	0.324210361	0.396269388	0.3405517
1	1.070460116	0.410474512	0.369165354	0.328279385	0.324210361	0.369306417
1	1.046093605	0.448973058	0.410474512	0.369165354	0.328279385	0.409537641
1	1.001109389	0.458912187	0.448973058	0.410474512	0.369165354	0.439453252
1	0.969302394	0.477545207	0.458912187	0.448973058	0.410474512	0.461810151
1	0.984405943	0.54092777	0.477545207	0.458912187	0.448973058	0.492461721
1	1.000049824	0.604124816	0.54092777	0.477545207	0.458912187	0.540865931
1	1.014397874	0.666228693	0.604124816	0.54092777	0.477545207	0.603760426
1	1.042516036	0.742882279	0.666228693	0.604124816	0.54092777	0.671078596
1	1.073253229	0.819311406	0.742882279	0.666228693	0.604124816	0.742807459
1	1.109949075	0.603056088	0.819311406	0.742882279	0.666228693	0.721749924
1	1.090312766	0.421460678	0.603056088	0.819311406	0.742882279	0.61460939
1	1.049241757	0.420729383	0.421460678	0.603056088	0.819311406	0.481748716
1	0.943747336	0.481581662	0.420729383	0.421460678	0.603056088	0.441257241
1	0.850140314	0.519010665	0.481581662	0.420729383	0.421460678	0.473773904
1	0.694881006	0.469928154	0.519010665	0.481581662	0.420729383	0.490173494
1	0.567561462	0.432719215	0.469928154	0.519010665	0.481581662	0.473886011
1	0.508542375	0.45433444	0.432719215	0.469928154	0.519010665	0.45232727
1	0.626705675	0.648335938	0.45433444	0.432719215	0.469928154	0.511796531
1	0.772333598	0.868271626	0.648335938	0.45433444	0.432719215	0.656980668
1	0.824427298	0.995459866	0.868271626	0.648335938	0.45433444	0.83735581
1	0.735591069	0.983698851	0.995459866	0.868271626	0.648335938	0.949143448
1	0.533390806	0.766367522	0.983698851	0.995459866	0.868271626	0.915175413
1	0.387938042	0.429289026	0.766367522	0.983698851	0.995459866	0.7264518
1	0.424666926	0.387585007	0.429289026	0.766367522	0.983698851	0.527747185
1	0.649871214	0.772124441	0.387585007	0.429289026	0.766367522	0.529666158
1	0.835058245	1.114561833	0.772124441	0.387585007	0.429289026	0.758090427
1	0.967974409	1.378793645	1.114561833	0.772124441	0.387585007	1.088493307
1	0.941233299	0.807673217	1.378793645	1.114561833	0.772124441	1.100342898
1	0.84105533	-0.525658541	0.807673217	1.378793645	1.114561833	0.553602773
1	1.00090916	-0.911784335	-0.525658541	0.807673217	1.378793645	-0.20992322
1	1.533008444	-0.554636181	-0.911784335	-0.525658541	0.807673217	-0.664026352
1	2.069429191	0.011227996	-0.554636181	-0.911784335	-0.525658541	-0.485064173
1	2.323132493	-0.08574873	0.011227996	-0.554636181	-0.911784335	-0.209718972
1	2.317153511	-0.555077781	-0.08574873	0.011227996	-0.554636181	-0.209866172
