date,obs,Average_3day_ahead,error10,error30
12/29/1904,1.765289253,13.77851237,12.82579629,12.70677
12/30/1904,4.383471067,15.70247931,14.77019756,14.98965786
12/31/1904,23.00826442,9.844628082,9.938453992,10.78506264
1/1/1905,13.94380163,6.7305785,7.154313363,5.26106605
1/2/1905,10.15537188,4.74710743,4.688246708,3.492486412
1/3/1905,5.434710735,4.218181811,4.060056767,4.113596836
1/4/1905,4.601652885,4.17190082,4.493232741,3.690616102
1/5/1905,4.204958671,4.257851233,3.833663433,4.088904461
1/6/1905,3.847933878,4.73388429,4.274806644,5.94742072
1/7/1905,4.46280991,4.343801646,4.564010627,3.559619958
1/8/1905,4.46280991,3.880991729,3.587753099,3.203720623
1/9/1905,5.276033049,3.147107433,3.305233344,3.227062552
1/10/1905,3.292561978,3.041322309,3.008996937,3.505159551
1/11/1905,3.07438016,3.418181813,3.323850833,2.679829986
1/12/1905,3.07438016,4.985123959,4.66530119,4.186405116
1/13/1905,2.975206607,6.459504121,6.457123856,6.531179084
1/14/1905,4.204958671,6.816528914,7.406741647,6.809354599
1/15/1905,7.775206598,5.937190073,6.154622332,6.635400647
1/16/1905,7.398347095,5.282644619,4.776945369,3.976574912
1/17/1905,5.276033049,5.282644619,5.13006866,6.01727302
1/18/1905,5.137190074,5.527272718,5.558177937,4.850388311
1/19/1905,5.434710735,6.492561972,6.717049814,7.553395255
1/20/1905,5.276033049,10.56528924,10.0466157,10.70619481
1/21/1905,5.87107437,13.72561981,13.90194676,10.19725412
1/22/1905,8.330578498,14.55206609,15.63095611,11.80825929
1/23/1905,17.49421485,11.06776858,11.2947658,14.02131341
1/24/1905,15.35206609,8.06611569,7.518594547,8.697470551
1/25/1905,10.80991734,6.221487593,5.803927451,6.376701473
1/26/1905,7.041322302,5.540495858,5.621460499,4.038019528
1/27/1905,6.347107427,5.044628091,4.627815621,6.255413901
1/28/1905,5.276033049,4.998347099,5.255183578,4.224158361
1/29/1905,4.998347099,5.447933875,5.110550031,5.795093911
1/30/1905,4.859504124,11.03471072,11.29760535,9.440281514
1/31/1905,5.137190074,13.59338841,13.84937045,11.67533814
2/1/1905,6.347107427,14.58512394,14.922928,15.62700935
2/2/1905,21.61983467,12.89256196,11.94017192,13.60465211
2/3/1905,12.81322312,12.37024791,11.77024141,8.909316368
2/4/1905,9.322314034,12.1719008,13.05399005,11.45564779
2/5/1905,16.54214873,9.004958662,9.623890493,7.172672745
2/6/1905,11.24628097,7.371900814,7.077276815,5.987043864
2/7/1905,8.727272713,6.525619824,6.679208375,7.25660801
2/8/1905,7.041322302,6.13553718,5.894802499,7.788564275
2/9/1905,6.347107427,5.923966932,6.431660819,4.283766587
2/10/1905,6.188429742,5.57355371,5.68440063,6.886126752
2/11/1905,5.87107437,5.190082636,5.64875867,5.729817324
2/12/1905,5.712396685,4.773553711,4.549914135,5.095577042
2/13/1905,5.137190074,4.383471067,4.735986306,4.305615424
2/14/1905,4.720661149,5.044628091,4.615744589,6.221541453
2/15/1905,4.46280991,5.672727263,5.349588617,4.689928578
2/16/1905,3.966942142,6.360330568,6.905453195,7.875997324
2/17/1905,6.70413222,8.846280978,8.763219276,8.026702043
2/18/1905,6.347107427,10.04958676,9.60947784,10.83891659
2/19/1905,6.029752056,10.88264461,11.50596024,8.670773283
2/20/1905,14.16198345,8.687603291,9.070864942,7.796766785
2/21/1905,9.957024777,7.775206598,8.08139788,6.971260457
2/22/1905,8.528925605,7.398347095,7.31490276,5.183646293
2/23/1905,7.576859491,7.781818169,7.696125787,7.357613365
2/24/1905,7.219834699,8.026446268,8.188344911,9.795078132
2/25/1905,7.398347095,8.271074366,8.948644194,6.333287325
2/26/1905,8.727272713,7.887603292,7.109778794,9.371090237
2/27/1905,7.953718995,7.761983458,7.116364097,8.966424034
2/28/1905,8.132231391,7.576859491,6.98629811,6.432435781
3/1/1905,7.576859491,7.517355359,8.17215348,9.687435429
3/2/1905,7.576859491,7.517355359,7.491132669,7.802083811
3/3/1905,7.576859491,7.517355359,8.199526347,7.473984759
3/4/1905,7.398347095,7.576859491,7.463146034,6.847603895
3/5/1905,7.576859491,7.576859491,7.165820069,8.876946321
