"Date","Q","fitted_q","fitted_q_TAF"
1969-01-12,19.190004340767,3.32865670413946,12.7913099224763
1969-01-13,21.8220516472322,4.2275717370798,16.2456465520283
1969-01-14,18.1186382368538,5.71593626005852,21.9651104629098
1969-01-15,10.2046029299017,5.81336623646441,22.3395128524375
1969-01-16,8.00801853881386,5.39508344228354,20.7321422729021
1969-01-17,21.0233014982256,4.85178054449834,18.6443463945505
1969-01-18,57.1482282047867,4.71304172407375,18.1112030252981
1969-01-19,91.6930318330277,5.79090239695296,22.2531891612973
1969-01-20,97.0341625580359,12.6830630601872,48.7382763645812
1969-01-21,68.5849794684989,21.4816672466273,82.5494149220635
1969-01-22,40.2736528787296,23.9058407686988,91.864991018606
1969-01-23,35.3908249216513,20.5102434363305,78.8164426969234
1969-01-24,50.5974016976676,15.0478088740402,57.8254845934309
1969-01-25,54.2627486491314,13.0933073408939,50.3147566702604
1969-01-26,46.2010499476422,15.3094697863719,58.8309910549624
1969-01-27,28.1483075251637,16.248086850034,62.4378940272324
1969-01-28,22.2316637416678,14.441460258394,55.4954176165181
1969-01-29,19.2132312853892,11.7002523377411,44.9615466915251
1969-01-30,17.258164515956,10.0776270486215,38.7261476083556
1969-01-31,15.7366680964279,8.81524742676936,33.8750949411195
1969-02-01,14.8001475438817,7.94524695597278,30.5318707387498
1969-02-02,13.4712630251432,7.32675820974304,28.1551518579021
1969-02-03,13.9795898516392,6.91745173786889,26.5822753493374
1969-02-04,16.5953352581599,6.66253423675875,25.6026823629811
1969-02-05,18.6195238172181,6.82079785067255,26.2108553032861
1969-02-06,17.8866694894073,7.25652927317634,27.8852771988442
1969-02-07,14.6072345489002,7.54133195777677,28.9797125009127
1969-02-08,12.2592016280918,7.44238572509482,28.5994834654816
1969-02-09,12.8478766092089,7.21657079155161,27.7317253706073
1969-02-10,16.5077609294602,7.07027153014103,27.1695288569792
1969-02-11,18.740777271379,7.10999556386282,27.3221797524814
1969-02-12,18.8454277340607,7.30093623302407,28.0559235696222
1969-02-13,18.8615575835058,7.43243437644888,28.5612425785441
1969-02-14,19.8318002778653,7.52465760924892,28.9156365751767
1969-02-15,19.83068193859,7.85045024989966,30.1675874392725
1969-02-16,17.7572435692406,8.7633351345548,33.6756071965057
1969-02-17,15.8810194941387,8.77624010995438,33.7251982341374
1969-02-18,14.9803287072536,8.30715449513834,31.9226033700213
1969-02-19,13.6923064723015,7.93745933560992,30.5019445930178
1969-02-20,12.8151867720413,7.7349683043829,29.7238152251783
1969-02-21,13.1278907845583,7.53052251775814,28.9381741538688
1969-02-22,14.4550547877904,7.40915425770791,28.4717821023474
1969-02-23,17.4165811518948,7.62909844056526,29.3169801683046
1969-02-24,18.9259049202764,8.31432971324971,31.9501761859593
1969-02-25,18.6526437659636,10.2057627590761,39.2185455124481
1969-02-26,17.9551030544316,10.6517402780587,40.932340947306
1969-02-27,18.5011522204766,9.78437917566241,37.5992592685452
1969-02-28,19.0423839378473,9.20088424369714,35.3570140698498
1969-03-01,17.7839115858847,8.87751717294707,34.1143841478324
1969-03-02,15.4282223626873,8.73197380946144,33.555092386928
1969-03-03,13.9832459400022,8.5052154756979,32.6837090084419
1969-03-04,13.1846248399239,8.13408711110747,31.2575427334414
1969-03-05,12.7994440378077,7.853190053511,30.1781159137396
1969-03-06,11.9891234201858,7.58705747936789,29.1554258201359
1969-03-07,11.0352256368114,7.38875041758785,28.39337454465
1969-03-08,9.79288313481451,7.22265891086511,27.7551207002871
1969-03-09,9.37918476002745,7.1007015242671,27.2864647624818
1969-03-10,9.593303135158,7.05019899051139,27.0923944156249
1969-03-11,10.0438635948767,6.98809030896062,26.8537241455414
1969-03-12,10.1038236223432,6.91256264213985,26.5634876087353
1969-03-13,9.82006731294158,6.7880989753325,26.0852005765397
1969-03-14,9.0558135450737,6.67659012949228,25.6566961277433
1969-03-15,8.32467973541582,6.57715069191644,25.2745718122597
1969-03-16,8.48421470063715,6.49677631257626,24.9657104043865
1969-03-17,8.86543831499395,6.41705144960217,24.6593449478465
1969-03-18,9.77769958101799,6.33747049164118,24.3535324872402
1969-03-19,9.92820182821841,6.25803590010775,24.0482824812526
1969-03-20,10.2677889225888,6.17978029979464,23.747563084287
1969-03-21,9.80496977909777,6.21750575654494,23.8925338794609
1969-03-22,9.06970672697589,6.22006489628531,23.9023681016302
1969-03-23,9.11259061988794,6.15647217323805,23.6579949800944
1969-03-24,9.79705539990976,6.00894870735369,23.091094112661
1969-03-25,11.2076644903846,5.90652813402868,22.6975139353454
1969-03-26,12.5083755406204,5.82071990361748,22.3677714095619
1969-03-27,13.9590296702665,5.73798756584491,22.0498488759033
1969-03-28,14.7423811797328,5.66616968335056,21.7738682402857
1969-03-29,16.0117788156932,5.60061121301923,21.5219411758309
1969-03-30,17.0317014486545,5.51922465614219,21.2091901879496
1969-03-31,18.0365695556926,5.42543387870382,20.8487724552972
1969-04-01,17.6875626291567,5.33294307126089,20.4933502270117
1969-04-02,16.5352461928013,5.24522347467583,20.1562627331891
1969-04-03,17.5940095030256,5.22528903177737,20.0796589677936
1969-04-04,18.7643913706086,5.26890347158512,20.247259854957
1969-04-05,19.3364633602724,5.62319256795423,21.6087164534028
1969-04-06,17.6737984909237,6.00262220879531,23.0667827429473
1969-04-07,15.7663900409738,6.19282663581877,23.7976973403158
1969-04-08,14.8578709006305,5.94560173623309,22.8476653627853
1969-04-09,14.093316042292,5.63540176477909,21.6556337640095
1969-04-10,14.243689251132,5.42918472220086,20.8631861380244
1969-04-11,14.6886580281102,5.26896363670194,20.2474910565269
1969-04-12,14.982866479996,5.14002620067157,19.7520122939309
1969-04-13,15.0810650027174,5.02456070655712,19.3083032990283
1969-04-14,14.4677866246307,4.92645081568595,18.9312881448272
1969-04-15,14.2271722854605,4.84464928420592,18.6169424990317
1969-04-16,14.2621848117632,4.77279892307173,18.3408370550049
1969-04-17,15.0801617312536,4.70702872357457,18.0880963610231
1969-04-18,15.7158498467137,4.64578412412545,17.8527465721256
1969-04-19,16.126021162078,4.58140641370623,17.605356913394
1969-04-20,16.9567729221135,4.52187233458511,17.3765802852603
1969-04-21,18.1753292732912,4.45905945136617,17.1352039200201
1969-04-22,18.6329008392248,4.39614313711856,16.8934300916406
1969-04-23,17.7316078713985,4.52209550748347,17.3774378905837
1969-04-24,16.1584529125058,4.76448068562616,18.3088718622463
1969-04-25,14.7350689814859,4.889085453126,18.7877011139761
1969-04-26,14.4163431588807,4.76416688878223,18.3076660086422
1969-04-27,14.5893411697567,4.58027944872521,17.6010262299907
1969-04-28,15.0012760153138,4.44715877397084,17.0894721830519
1969-04-29,15.0820973135305,4.34755319185214,16.7067094099175
1969-04-30,14.8334395562134,4.26456707645616,16.3878116635767
1969-05-01,14.6650869419537,4.18951529989899,16.0994038704325
1969-05-02,14.0601530725105,4.12016768443855,15.8329159383379
1969-05-03,13.6224104680494,4.05608788489304,15.5866710868524
1969-05-04,13.3046739426898,3.99486882110763,15.351419426004
1969-05-05,14.1577494142647,3.93238671721038,15.1113141743678
1969-05-06,15.1029155722226,3.87362559106218,14.8855078378295
1969-05-07,16.4462954506817,3.81945728399912,14.6773507146399
